id,constant,display_name,sort_name,country,continent,digits,date,date_text,date_precision,notes,source_url,category_tags,is_juggling,is_public
pi-casey-charlie-usa-33-2015-03-13,pi,"Casey, Charlie","Casey, Charlie",USA,North America,33,2015-03-13,13 March 2015,day,1 min,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-casey-ellie-usa-41-2012-03-14,pi,"Casey, Ellie","Casey, Ellie",USA,North America,41,2012-03-14,14 March 2012,day,1 min,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-casey-emma-usa-26-2016-03-14,pi,"Casey, Emma","Casey, Emma",USA,North America,26,2016-03-14,14 March 2016,day,,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-cason-johannes-usa-91-2016-03-14,pi,"Cason, Johannes","Cason, Johannes",USA,North America,91,2016-03-14,14 March 2016,day,3 min,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-castle-ben-usa-1000-2008-11-30,pi,"Castle, Ben","Castle, Ben",USA,North America,1000,2008-11-30,30 November 2008,day,,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-cavanaugh-colin-usa-109-2012-11-28,pi,"Cavanaugh, Colin","Cavanaugh, Colin",USA,North America,109,2012-11-28,28 November 2012,day,44 sec,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-cawley-ainan-celeste-singapore-518-2008-09-14,pi,"Cawley, Ainan Celeste","Cawley, Ainan Celeste",Singapore,Asia,518,2008-09-14,14 September 2008,day,4 min,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-ceballos-johanna-usa-30-2013-03-15,pi,"Ceballos, Johanna","Ceballos, Johanna",USA,North America,30,2013-03-15,15 March 2013,day,1 min,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-ceballos-joshua-usa-43-2013-03-14,pi,"Ceballos, Joshua","Ceballos, Joshua",USA,North America,43,2013-03-14,14 March 2013,day,1 min,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-celi-valeria-venezuela-90-2014-04-11,pi,"Celi, Valeria","Celi, Valeria",Venezuela,South America,90,2014-04-11,11 April 2014,day,2 min,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-celozzi-nicholas-usa-24-2015-03-13,pi,"Celozzi, Nicholas","Celozzi, Nicholas",USA,North America,24,2015-03-13,13 March 2015,day,1 min,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
